What is your gender? (Optional),"Would you consider yourself having had a technical background, either in education or work experience? (Optional)",Are you employed in crypto? (Optional),What region are you staking from? (Optional)
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"No, but I work in a related field",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Southern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Asia
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,Southeast Asia
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Eastern Europe
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Not technical,"No, and I work in an unrelated field",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",South America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Africa
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,I'm unemployed,Southeast Asia
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,I'm unemployed,Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",South Asia
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I do some freelance or contract work in crypto,Southern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,I do some freelance or contract work in crypto,Eastern Europe
Male,Strongly technical,"No, but I work in a related field",East Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",East Asia
Male,Strongly technical,"Yes, crypto is my full-time job",South America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,North America
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Southeast Asia
Male,Not technical,"No, and I work in an unrelated field",Central America / Caribbean
Male,Strongly technical,I do some freelance or contract work in crypto,Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,I'm unemployed,South America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Strongly technical,I'm unemployed,North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Not technical,"No, and I work in an unrelated field",
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Eastern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Asia
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",Northern Europe
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,I'm unemployed,Northern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Southeast Asia
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",Eastern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Southern Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Southern Europe
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,East Asia
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Western Asia
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Northern Europe
Male,Not technical,"No, and I work in an unrelated field",East Asia
Male,Strongly technical,"No, but I work in a related field",Not sure / I'm not the operator
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Southern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,,North America
Male,Strongly technical,"No, but I work in a related field",Oceania
Male,Somewhat technical or just as a hobby,I'm unemployed,East Asia
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Somewhat technical or just as a hobby,I'm unemployed,Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",Oceania
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,I'm unemployed,East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Oceania
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,I'm unemployed,East Asia
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,I'm unemployed,East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",South America
Male,Strongly technical,"No, but I work in a related field",Not sure / I'm not the operator
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",
Male,Strongly technical,"No, and I work in an unrelated field",South Asia
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,
Male,Strongly technical,I do some freelance or contract work in crypto,Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,South Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,I'm unemployed,Southeast Asia
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I'm unemployed,Western Asia
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Southern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",South America
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I do some freelance or contract work in crypto,Western Europe / UK
Male,Not technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,I'm unemployed,North America
Male,Strongly technical,I do some freelance or contract work in crypto,Northern Europe
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Oceania
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,I'm unemployed,North America
Male,Strongly technical,"No, and I work in an unrelated field",Southern Africa
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",East Asia
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Southern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I'm unemployed,East Asia
Male,Strongly technical,"No, and I work in an unrelated field",
Male,Strongly technical,I'm unemployed,Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Africa
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Western Europe / UK
Male,Not technical,"Yes, crypto is my full-time job",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",South America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Northern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,I do some freelance or contract work in crypto,Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Southern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",East Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Strongly technical,"No, but I work in a related field",
Male,Strongly technical,I do some freelance or contract work in crypto,Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Southern Europe
Male,Strongly technical,I do some freelance or contract work in crypto,Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Southeast Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Eastern Europe
Male,Strongly technical,"Yes, crypto is my full-time job",East Asia
Male,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"Yes, crypto is my full-time job",Oceania
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Strongly technical,"No, and I work in an unrelated field",Oceania
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,I'm unemployed,North America
Male,Strongly technical,"No, and I work in an unrelated field",South Asia
Male,Strongly technical,"No, and I work in an unrelated field",East Asia
Male,Strongly technical,I do some freelance or contract work in crypto,North America
Male,Strongly technical,"No, and I work in an unrelated field",
Male,Strongly technical,"No, and I work in an unrelated field",East Asia
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,I'm unemployed,East Asia
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,,Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Western Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,I do some freelance or contract work in crypto,Southern Europe
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Eastern Europe
Male,Strongly technical,I'm unemployed,Eastern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,Central America / Caribbean
Male,Strongly technical,"No, and I work in an unrelated field",East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",Northern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Asia
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Southeast Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
Male,Strongly technical,"Yes, crypto is my full-time job",Northern Europe
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",Eastern Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Eastern Europe
Male,Strongly technical,"No, but I work in a related field",Oceania
Male,Strongly technical,"No, but I work in a related field",Southeast Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Strongly technical,"No, and I work in an unrelated field",Eastern Europe
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, but I work in a related field",Western Europe / UK
Male,Strongly technical,"No, and I work in an unrelated field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
